Measure	E1	E2	Persons	Assessment_Items
2.25	1	117	6728f3d973b4504d88a81299	ImAdaptivePerson
2.25	1	118	6728f3d973b4504d88a81299	MntnComposureUndPressure
2.35	1	119	6728f3d973b4504d88a81299	Open2DivPerspctvs
2.47	1	120	6728f3d973b4504d88a81299	ThinkB4Speak
.93	1	121	6728f3d973b4504d88a81299	InfluencedByOthers
1.90	1	122	6728f3d973b4504d88a81299	NurtureConnctns
-.30	1	123	6728f3d973b4504d88a81299	UsePeopl
2.53	1	124	6728f3d973b4504d88a81299	Listen2Others
-.22	1	125	6728f3d973b4504d88a81299	EasilyDistracted
2.39	1	126	6728f3d973b4504d88a81299	Open2Feedback
1.41	1	127	6728f3d973b4504d88a81299	MovePstSmllTalk
1.10	1	128	6728f3d973b4504d88a81299	BuildRapportWAnyone
1.84	1	129	6728f3d973b4504d88a81299	MaintainRelationships
.75	1	130	6728f3d973b4504d88a81299	RelationshpsRTx
.14	1	131	6728f3d973b4504d88a81299	MakeDecWMissInfo
1.50	1	132	6728f3d973b4504d88a81299	IntentnlChoices
1.37	1	133	6728f3d973b4504d88a81299	ObjectiveDecisions
1.55	1	134	6728f3d973b4504d88a81299	ConsideredBiases
.93	1	135	6728f3d973b4504d88a81299	Quick2Act
2.07	1	136	6728f3d973b4504d88a81299	Resourceful
2.13	1	137	6728f3d973b4504d88a81299	ConseqPotActions
1.50	1	138	6728f3d973b4504d88a81299	ExistFrame4Decisions
1.48	1	139	6728f3d973b4504d88a81299	DpAnalGuideDec
1.55	1	140	6728f3d973b4504d88a81299	ComfortSharIdeasPersSett
2.61	1	141	6728f3d973b4504d88a81299	Observant
2.73	1	142	6728f3d973b4504d88a81299	Listener
2.39	1	143	6728f3d973b4504d88a81299	Reflect
.60	1	144	6728f3d973b4504d88a81299	SocialSitsDrainEnergy
1.16	1	145	6728f3d973b4504d88a81299	EnergizedMtgNewPeop
1.20	1	146	6728f3d973b4504d88a81299	SpeakUpPitchIdeas
1.04	1	147	6728f3d973b4504d88a81299	DrvnSocEng
-.30	1	148	6728f3d973b4504d88a81299	Conversations
1.91	1	149	6728f3d973b4504d88a81299	PreferActiveParticipate
.45	2	1	682603cbaef4ac2727a8d028	EnergizedByPotential
.90	2	2	682603cbaef4ac2727a8d028	EagertoPursue
.63	2	3	682603cbaef4ac2727a8d028	PursuePerfection
.03	2	4	682603cbaef4ac2727a8d028	ComfortUnchartedT
-.53	2	5	682603cbaef4ac2727a8d028	ActBeforeThinkg
.67	2	6	682603cbaef4ac2727a8d028	Adventurous
-.04	2	7	682603cbaef4ac2727a8d028	ComfDecUncert
1.11	2	8	682603cbaef4ac2727a8d028	Pass2Inovate
-.36	2	9	682603cbaef4ac2727a8d028	InternReas2Compl
.99	2	10	682603cbaef4ac2727a8d028	CommunIdeas
1.30	2	11	682603cbaef4ac2727a8d028	ShapeMyPath
-.69	2	12	682603cbaef4ac2727a8d028	Procrastinate
2.22	2	13	682603cbaef4ac2727a8d028	AlwaysMorLearn
-.82	2	14	682603cbaef4ac2727a8d028	StruggleDecs
-.80	2	15	682603cbaef4ac2727a8d028	KnowEnuf
-.52	2	16	682603cbaef4ac2727a8d028	DiscourageByFailure
-1.34	2	17	682603cbaef4ac2727a8d028	GiveUpChallenging
1.74	2	18	682603cbaef4ac2727a8d028	DeterminedReachGls
-.09	2	19	682603cbaef4ac2727a8d028	SingularFocus
1.04	2	20	682603cbaef4ac2727a8d028	Listen2Others
-.69	2	21	682603cbaef4ac2727a8d028	AnnoyedIfNoIdea
.02	2	22	682603cbaef4ac2727a8d028	FollowTraditions
1.04	2	23	682603cbaef4ac2727a8d028	GoBeyondComfZone
-.78	2	24	682603cbaef4ac2727a8d028	ObstaclesAsBlocks
1.41	2	25	682603cbaef4ac2727a8d028	TackleChallenges
1.44	2	26	682603cbaef4ac2727a8d028	MoveForward
1.77	2	27	682603cbaef4ac2727a8d028	AskQuestions
1.69	2	28	682603cbaef4ac2727a8d028	Slow2Adapt
2.25	2	29	682603cbaef4ac2727a8d028	Persistent
.88	2	30	682603cbaef4ac2727a8d028	PivotWhenNeeded
2.14	2	31	682603cbaef4ac2727a8d028	StandbyCommitements
2.14	2	32	682603cbaef4ac2727a8d028	KeepPromises
.79	2	33	682603cbaef4ac2727a8d028	HandleFrustration
1.22	2	34	682603cbaef4ac2727a8d028	ReflectOnFailure
1.59	2	35	682603cbaef4ac2727a8d028	AcknowledgeMistakes
-.77	2	36	682603cbaef4ac2727a8d028	ComfortWFailure
-.57	2	37	682603cbaef4ac2727a8d028	GoesWrongIsMyFault
-.99	2	38	682603cbaef4ac2727a8d028	Resistant2ChangeAfterFail
1.04	2	39	682603cbaef4ac2727a8d028	AcceptRespons4Err
-1.48	2	40	682603cbaef4ac2727a8d028	FailureStopTrying
.02	2	41	682603cbaef4ac2727a8d028	WorseFailures
-1.17	2	42	682603cbaef4ac2727a8d028	BetterFailurs
1.16	2	43	682603cbaef4ac2727a8d028	IncorpEmrgInfo
.93	2	44	682603cbaef4ac2727a8d028	AdaptStances
1.47	2	45	682603cbaef4ac2727a8d028	Open2Feedback
1.62	2	46	682603cbaef4ac2727a8d028	HumbleInContributions
-.27	2	47	682603cbaef4ac2727a8d028	Others2knowWhatIdid
1.04	2	48	682603cbaef4ac2727a8d028	FocusNeedsTeam
1.62	2	49	682603cbaef4ac2727a8d028	Legacy2ElevateOthers
1.58	2	50	682603cbaef4ac2727a8d028	ImAGoodListener
.79	2	51	682603cbaef4ac2727a8d028	SpeakUp@Mtgs
1.22	2	52	682603cbaef4ac2727a8d028	ValueInputFromAll
1.04	2	53	682603cbaef4ac2727a8d028	DrivenLongTrmSucc
1.86	2	54	682603cbaef4ac2727a8d028	WholeTeamSucc
2.04	2	55	682603cbaef4ac2727a8d028	TrustEss4Innovation
1.41	2	56	682603cbaef4ac2727a8d028	TakeResp4Setbacks
.53	2	57	682603cbaef4ac2727a8d028	PersonalGainsRImportant
.93	2	58	682603cbaef4ac2727a8d028	InnoExec
.99	2	59	682603cbaef4ac2727a8d028	ConfidentAbility2Assemble
1.02	2	60	682603cbaef4ac2727a8d028	StrongTeamPerform
.95	2	61	682603cbaef4ac2727a8d028	TrustIndWRespons
1.18	2	62	682603cbaef4ac2727a8d028	ProvGuidance2Teams
1.89	2	63	682603cbaef4ac2727a8d028	CMyTeamGetRecog
-.54	2	64	682603cbaef4ac2727a8d028	TakeCreditofMyTeam
-.87	2	65	682603cbaef4ac2727a8d028	ComfortwConflict
1.86	2	66	682603cbaef4ac2727a8d028	BelieveValRelations
1.62	2	67	682603cbaef4ac2727a8d028	Adapt2DiffDynamics
.99	2	68	682603cbaef4ac2727a8d028	IDindividTalent
1.22	2	69	682603cbaef4ac2727a8d028	OpenComms
-.50	2	78	682603cbaef4ac2727a8d028	ConflctLeadsBetOutcms
.64	2	79	682603cbaef4ac2727a8d028	WantConflictGoAway
.21	2	80	682603cbaef4ac2727a8d028	SeprtPersnFrmIssue
1.04	2	81	682603cbaef4ac2727a8d028	GoodEmpathizg
.93	2	82	682603cbaef4ac2727a8d028	AdaptCommNeedsOthers
.78	2	83	682603cbaef4ac2727a8d028	ComfortDelvrngSensFdbk
1.69	2	84	682603cbaef4ac2727a8d028	ListenB4Spkng
1.04	2	85	682603cbaef4ac2727a8d028	RemnCompsdNavDisagr
.33	2	86	682603cbaef4ac2727a8d028	DiscernEmotClues
.46	2	87	682603cbaef4ac2727a8d028	DiscEmotTrggrsConflct
1.28	2	88	682603cbaef4ac2727a8d028	Slf-Reflct2ImprEmotAwrnss
1.44	2	89	682603cbaef4ac2727a8d028	ComfortOwnRespnsOutcms
1.35	2	90	682603cbaef4ac2727a8d028	Cmmttd2Promises
1.16	2	91	682603cbaef4ac2727a8d028	AcknowledgeRoleInSucFail
1.10	2	92	682603cbaef4ac2727a8d028	ProActCommsDlysObstcls
1.16	2	93	682603cbaef4ac2727a8d028	NoSomthngUnreal
1.47	2	94	682603cbaef4ac2727a8d028	MeetDeadlines
1.69	2	95	682603cbaef4ac2727a8d028	LearnFrmMistakes
1.60	2	96	682603cbaef4ac2727a8d028	ComfortRecFdbkColleag
.46	2	97	682603cbaef4ac2727a8d028	BelieveBestSolProb
-1.73	2	98	682603cbaef4ac2727a8d028	ThinkWOActing
1.41	2	99	682603cbaef4ac2727a8d028	TkTime2UndstndComplxIssues
.13	2	100	682603cbaef4ac2727a8d028	DecsnsNtGoingExpected
.80	2	101	682603cbaef4ac2727a8d028	Problems2Steps
.88	2	102	682603cbaef4ac2727a8d028	RunThruScenarios
1.12	2	103	682603cbaef4ac2727a8d028	ExamMultiPerspctvs
.74	2	104	682603cbaef4ac2727a8d028	ConsiderAssumptns
1.62	2	105	682603cbaef4ac2727a8d028	Self-Aware
.64	2	106	682603cbaef4ac2727a8d028	ArticulateBiases
1.62	2	107	682603cbaef4ac2727a8d028	AskQs
-.50	2	108	682603cbaef4ac2727a8d028	PtMyselfUncomfrtSituations
1.10	2	109	682603cbaef4ac2727a8d028	ImCreative
1.54	2	110	682603cbaef4ac2727a8d028	PrepB4Mtg1stTime
.93	2	111	682603cbaef4ac2727a8d028	MultiScenariosConsidProb
.99	2	112	682603cbaef4ac2727a8d028	KnowNonneg
1.12	2	113	682603cbaef4ac2727a8d028	AdaptMsg2Audience
.93	2	114	682603cbaef4ac2727a8d028	SeeSomeone
.02	2	115	682603cbaef4ac2727a8d028	WillingCompromise
1.04	2	116	682603cbaef4ac2727a8d028	ImCollaborative
1.34	2	117	682603cbaef4ac2727a8d028	ImAdaptivePerson
1.34	2	118	682603cbaef4ac2727a8d028	MntnComposureUndPressure
1.44	2	119	682603cbaef4ac2727a8d028	Open2DivPerspctvs
1.56	2	120	682603cbaef4ac2727a8d028	ThinkB4Speak
.02	2	121	682603cbaef4ac2727a8d028	InfluencedByOthers
.99	2	122	682603cbaef4ac2727a8d028	NurtureConnctns
-1.21	2	123	682603cbaef4ac2727a8d028	UsePeopl
1.62	2	124	682603cbaef4ac2727a8d028	Listen2Others
-1.13	2	125	682603cbaef4ac2727a8d028	EasilyDistracted
1.47	2	126	682603cbaef4ac2727a8d028	Open2Feedback
.50	2	127	682603cbaef4ac2727a8d028	MovePstSmllTalk
.19	2	128	682603cbaef4ac2727a8d028	BuildRapportWAnyone
.93	2	129	682603cbaef4ac2727a8d028	MaintainRelationships
-.16	2	130	682603cbaef4ac2727a8d028	RelationshpsRTx
-.77	2	131	682603cbaef4ac2727a8d028	MakeDecWMissInfo
.59	2	132	682603cbaef4ac2727a8d028	IntentnlChoices
.46	2	133	682603cbaef4ac2727a8d028	ObjectiveDecisions
.64	2	134	682603cbaef4ac2727a8d028	ConsideredBiases
.02	2	135	682603cbaef4ac2727a8d028	Quick2Act
1.16	2	136	682603cbaef4ac2727a8d028	Resourceful
1.22	2	137	682603cbaef4ac2727a8d028	ConseqPotActions
.59	2	138	682603cbaef4ac2727a8d028	ExistFrame4Decisions
.57	2	139	682603cbaef4ac2727a8d028	DpAnalGuideDec
.64	2	140	682603cbaef4ac2727a8d028	ComfortSharIdeasPersSett
1.69	2	141	682603cbaef4ac2727a8d028	Observant
1.82	2	142	682603cbaef4ac2727a8d028	Listener
1.47	2	143	682603cbaef4ac2727a8d028	Reflect
-.31	2	144	682603cbaef4ac2727a8d028	SocialSitsDrainEnergy
.25	2	145	682603cbaef4ac2727a8d028	EnergizedMtgNewPeop
.29	2	146	682603cbaef4ac2727a8d028	SpeakUpPitchIdeas
.13	2	147	682603cbaef4ac2727a8d028	DrvnSocEng
-1.21	2	148	682603cbaef4ac2727a8d028	Conversations
1.00	2	149	682603cbaef4ac2727a8d028	PreferActiveParticipate
1.12	3	1	67d4adffbf7ea5bd80a59e6a	EnergizedByPotential
1.57	3	2	67d4adffbf7ea5bd80a59e6a	EagertoPursue
1.29	3	3	67d4adffbf7ea5bd80a59e6a	PursuePerfection
.69	3	4	67d4adffbf7ea5bd80a59e6a	ComfortUnchartedT
.13	3	5	67d4adffbf7ea5bd80a59e6a	ActBeforeThinkg
1.33	3	6	67d4adffbf7ea5bd80a59e6a	Adventurous
.63	3	7	67d4adffbf7ea5bd80a59e6a	ComfDecUncert
1.78	3	8	67d4adffbf7ea5bd80a59e6a	Pass2Inovate
.31	3	9	67d4adffbf7ea5bd80a59e6a	InternReas2Compl
1.66	3	10	67d4adffbf7ea5bd80a59e6a	CommunIdeas
1.96	3	11	67d4adffbf7ea5bd80a59e6a	ShapeMyPath
-.03	3	12	67d4adffbf7ea5bd80a59e6a	Procrastinate
2.88	3	13	67d4adffbf7ea5bd80a59e6a	AlwaysMorLearn
-.15	3	14	67d4adffbf7ea5bd80a59e6a	StruggleDecs
-.13	3	15	67d4adffbf7ea5bd80a59e6a	KnowEnuf
.15	3	16	67d4adffbf7ea5bd80a59e6a	DiscourageByFailure
-.67	3	17	67d4adffbf7ea5bd80a59e6a	GiveUpChallenging
2.41	3	18	67d4adffbf7ea5bd80a59e6a	DeterminedReachGls
.58	3	19	67d4adffbf7ea5bd80a59e6a	SingularFocus
1.71	3	20	67d4adffbf7ea5bd80a59e6a	Listen2Others
-.03	3	21	67d4adffbf7ea5bd80a59e6a	AnnoyedIfNoIdea
.69	3	22	67d4adffbf7ea5bd80a59e6a	FollowTraditions
1.71	3	23	67d4adffbf7ea5bd80a59e6a	GoBeyondComfZone
-.11	3	24	67d4adffbf7ea5bd80a59e6a	ObstaclesAsBlocks
2.07	3	25	67d4adffbf7ea5bd80a59e6a	TackleChallenges
2.10	3	26	67d4adffbf7ea5bd80a59e6a	MoveForward
2.44	3	27	67d4adffbf7ea5bd80a59e6a	AskQuestions
2.36	3	28	67d4adffbf7ea5bd80a59e6a	Slow2Adapt
2.91	3	29	67d4adffbf7ea5bd80a59e6a	Persistent
1.55	3	30	67d4adffbf7ea5bd80a59e6a	PivotWhenNeeded
2.81	3	31	67d4adffbf7ea5bd80a59e6a	StandbyCommitements
2.81	3	32	67d4adffbf7ea5bd80a59e6a	KeepPromises
1.45	3	33	67d4adffbf7ea5bd80a59e6a	HandleFrustration
1.88	3	34	67d4adffbf7ea5bd80a59e6a	ReflectOnFailure
2.26	3	35	67d4adffbf7ea5bd80a59e6a	AcknowledgeMistakes
-.10	3	36	67d4adffbf7ea5bd80a59e6a	ComfortWFailure
.10	3	37	67d4adffbf7ea5bd80a59e6a	GoesWrongIsMyFault
-.33	3	38	67d4adffbf7ea5bd80a59e6a	Resistant2ChangeAfterFail
1.71	3	39	67d4adffbf7ea5bd80a59e6a	AcceptRespons4Err
-.82	3	40	67d4adffbf7ea5bd80a59e6a	FailureStopTrying
.69	3	41	67d4adffbf7ea5bd80a59e6a	WorseFailures
-.51	3	42	67d4adffbf7ea5bd80a59e6a	BetterFailurs
1.82	3	43	67d4adffbf7ea5bd80a59e6a	IncorpEmrgInfo
1.60	3	44	67d4adffbf7ea5bd80a59e6a	AdaptStances
2.14	3	45	67d4adffbf7ea5bd80a59e6a	Open2Feedback
2.28	3	46	67d4adffbf7ea5bd80a59e6a	HumbleInContributions
.40	3	47	67d4adffbf7ea5bd80a59e6a	Others2knowWhatIdid
1.71	3	48	67d4adffbf7ea5bd80a59e6a	FocusNeedsTeam
2.28	3	49	67d4adffbf7ea5bd80a59e6a	Legacy2ElevateOthers
2.25	3	50	67d4adffbf7ea5bd80a59e6a	ImAGoodListener
1.45	3	51	67d4adffbf7ea5bd80a59e6a	SpeakUp@Mtgs
1.88	3	52	67d4adffbf7ea5bd80a59e6a	ValueInputFromAll
1.71	3	53	67d4adffbf7ea5bd80a59e6a	DrivenLongTrmSucc
2.52	3	54	67d4adffbf7ea5bd80a59e6a	WholeTeamSucc
2.71	3	55	67d4adffbf7ea5bd80a59e6a	TrustEss4Innovation
2.07	3	56	67d4adffbf7ea5bd80a59e6a	TakeResp4Setbacks
1.20	3	57	67d4adffbf7ea5bd80a59e6a	PersonalGainsRImportant
1.60	3	58	67d4adffbf7ea5bd80a59e6a	InnoExec
1.65	3	59	67d4adffbf7ea5bd80a59e6a	ConfidentAbility2Assemble
1.69	3	60	67d4adffbf7ea5bd80a59e6a	StrongTeamPerform
1.61	3	61	67d4adffbf7ea5bd80a59e6a	TrustIndWRespons
1.84	3	62	67d4adffbf7ea5bd80a59e6a	ProvGuidance2Teams
2.56	3	63	67d4adffbf7ea5bd80a59e6a	CMyTeamGetRecog
.13	3	64	67d4adffbf7ea5bd80a59e6a	TakeCreditofMyTeam
-.20	3	65	67d4adffbf7ea5bd80a59e6a	ComfortwConflict
2.52	3	66	67d4adffbf7ea5bd80a59e6a	BelieveValRelations
2.28	3	67	67d4adffbf7ea5bd80a59e6a	Adapt2DiffDynamics
1.65	3	68	67d4adffbf7ea5bd80a59e6a	IDindividTalent
1.88	3	69	67d4adffbf7ea5bd80a59e6a	OpenComms
.37	3	70	67d4adffbf7ea5bd80a59e6a	Vulnerable
1.38	3	71	67d4adffbf7ea5bd80a59e6a	TeamsDevBetSoluts
2.32	3	72	67d4adffbf7ea5bd80a59e6a	SafeTeamEnvirons
1.76	3	73	67d4adffbf7ea5bd80a59e6a	Dependable
1.76	3	74	67d4adffbf7ea5bd80a59e6a	RiskTkgImport
1.29	3	75	67d4adffbf7ea5bd80a59e6a	ComfortWConstrctvConflict
1.65	3	76	67d4adffbf7ea5bd80a59e6a	DiffBetwnConstr&DestrtvConflct
1.03	3	77	67d4adffbf7ea5bd80a59e6a	AddrssConflctsDirect
.16	3	78	67d4adffbf7ea5bd80a59e6a	ConflctLeadsBetOutcms
1.30	3	79	67d4adffbf7ea5bd80a59e6a	WantConflictGoAway
.88	3	80	67d4adffbf7ea5bd80a59e6a	SeprtPersnFrmIssue
1.71	3	81	67d4adffbf7ea5bd80a59e6a	GoodEmpathizg
1.60	3	82	67d4adffbf7ea5bd80a59e6a	AdaptCommNeedsOthers
1.45	3	83	67d4adffbf7ea5bd80a59e6a	ComfortDelvrngSensFdbk
2.36	3	84	67d4adffbf7ea5bd80a59e6a	ListenB4Spkng
1.71	3	85	67d4adffbf7ea5bd80a59e6a	RemnCompsdNavDisagr
1.00	3	86	67d4adffbf7ea5bd80a59e6a	DiscernEmotClues
1.12	3	87	67d4adffbf7ea5bd80a59e6a	DiscEmotTrggrsConflct
1.94	3	88	67d4adffbf7ea5bd80a59e6a	Slf-Reflct2ImprEmotAwrnss
2.10	3	89	67d4adffbf7ea5bd80a59e6a	ComfortOwnRespnsOutcms
2.01	3	90	67d4adffbf7ea5bd80a59e6a	Cmmttd2Promises
1.83	3	91	67d4adffbf7ea5bd80a59e6a	AcknowledgeRoleInSucFail
1.76	3	92	67d4adffbf7ea5bd80a59e6a	ProActCommsDlysObstcls
1.82	3	93	67d4adffbf7ea5bd80a59e6a	NoSomthngUnreal
2.14	3	94	67d4adffbf7ea5bd80a59e6a	MeetDeadlines
2.36	3	95	67d4adffbf7ea5bd80a59e6a	LearnFrmMistakes
2.27	3	96	67d4adffbf7ea5bd80a59e6a	ComfortRecFdbkColleag
1.12	3	97	67d4adffbf7ea5bd80a59e6a	BelieveBestSolProb
-1.07	3	98	67d4adffbf7ea5bd80a59e6a	ThinkWOActing
2.07	3	99	67d4adffbf7ea5bd80a59e6a	TkTime2UndstndComplxIssues
.80	3	100	67d4adffbf7ea5bd80a59e6a	DecsnsNtGoingExpected
1.47	3	101	67d4adffbf7ea5bd80a59e6a	Problems2Steps
1.55	3	102	67d4adffbf7ea5bd80a59e6a	RunThruScenarios
1.78	3	103	67d4adffbf7ea5bd80a59e6a	ExamMultiPerspctvs
1.40	3	104	67d4adffbf7ea5bd80a59e6a	ConsiderAssumptns
2.28	3	105	67d4adffbf7ea5bd80a59e6a	Self-Aware
1.30	3	106	67d4adffbf7ea5bd80a59e6a	ArticulateBiases
2.28	3	107	67d4adffbf7ea5bd80a59e6a	AskQs
.16	3	108	67d4adffbf7ea5bd80a59e6a	PtMyselfUncomfrtSituations
1.76	3	109	67d4adffbf7ea5bd80a59e6a	ImCreative
2.21	3	110	67d4adffbf7ea5bd80a59e6a	PrepB4Mtg1stTime
